sep=,
A1
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Ma8hmatika_A| Pithagoras,Fysikh_Agwgh_A| Petrounias,Arxaia_Ellhnikh_Glwssa_A| ArxaiosC,Neoellhnikh_Logotexnia_A| FilologosA,Agglika_A| Atkinson,
Ma8hmatika_A| Pithagoras,Agglika_A| Atkinson,Glwssikh_didaskalia_A| FilologosC,Gallika_A| Bernadette,Arxaia_Ellhnika_Keimena_apo_Metafrash_A| ArxaiosB,
Ma8hmatika_A| Pithagoras,Plhroforikh_A| Turing,8rhskeutika_A| Theologos,Fysikh_A| Einstein,Texnologia_A| Kotsovolos,
Oikiakh_Oikonomia_A| Antwniadou,Istoria_A| Karaiskakis,Mousikh_A| Beethoven,Ma8hmatika_A| Pithagoras,8rhskeutika_A| Theologos,
Biologia_A| Darvinos,Istoria_A| Karaiskakis,Neoellhnikh_Logotexnia_A| FilologosA,Glwssikh_didaskalia_A| FilologosC,Oikiakh_Oikonomia_A| Antwniadou,
Arxaia_Ellhnikh_Glwssa_A| ArxaiosC,Gewgrafia_A| Neftonas,Gallika_A| Bernadette,Fysikh_Agwgh_A| Petrounias,Glwssikh_didaskalia_A| FilologosC,
Arxaia_Ellhnika_Keimena_apo_Metafrash_A| ArxaiosB,Kallitexnika_A| Picasso,KENO,KENO,KENO,


A2
Deutera,Trith,Tetarth,Pempth,Paraskeyh
8rhskeutika_A| Theologos,Gallika_A| Bernadette,Glwssikh_didaskalia_A| FilologosA,Glwssikh_didaskalia_A| FilologosA,Neoellhnikh_Logotexnia_A| FilologosA,
Arxaia_Ellhnika_Keimena_apo_Metafrash_A| ArxaiosB,Agglika_A| Atkinson,Arxaia_Ellhnikh_Glwssa_A| ArxaiosB,Texnologia_A| Kotsovolos,Arxaia_Ellhnika_Keimena_apo_Metafrash_A| ArxaiosB,
Plhroforikh_A| Turing,Fysikh_A| Einstein,Fysikh_Agwgh_A| Petrounias,Ma8hmatika_A| Efklidis,Mousikh_A| Beethoven,
